iucr_code,primary_type,description,index_code
1030,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,I
1035,WEAPONS VIOLATION,UNLAWFUL USE/SALE AIR RIFLE,I
1040,WEAPONS VIOLATION,UNLAWFUL SALE OTHER FIREARM,I
1090,WEAPONS VIOLATION,UNLAWFUL USE OTHER WEAPON,N
1110,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,I
1115,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,I
1120,SEX OFFENSE,CRIMINAL TRANSMISSION OF HIV,I
1125,SEX OFFENSE,PUBLIC INDECENCY,N
1130,SEX OFFENSE,EXPLOITATION,I
1150,SEX OFFENSE,SOLICITATION,N
1160,SEX OFFENSE,PANDERING,N
1200,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,N
1210,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,I
1220,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,I
1230,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,I
1240,NARCOTICS,POSS: HEROIN(WHITE),I
1310,NARCOTICS,POSS: COCAINE,I
1320,NARCOTICS,POSS: METHAMPHETAMINE,I
1330,NARCOTICS,OVER THE COUNTER,N
1340,NARCOTICS,SOLICITATION,N
1430,GAMBLING,ILLEGAL LOTTERY,N
1440,GAMBLING,GAME OF CHANCE,N
2825,CRIMINAL TRESPASS,TO LAND,N
2830,CRIMINAL TRESPASS,TO RESIDENCE,N
5001,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,N
5002,PUBLIC PEACE VIOLATION,INTERFERENCE WITH EMERGENCY,N
5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,N
5004,PUBLIC PEACE VIOLATION,MOB ACTION,N
5011,PUBLIC PEACE VIOLATION,FALSE FIRE ALARM,N
5012,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,N
5015,PUBLIC PEACE VIOLATION,ASSAULT,N
5016,PUBLIC PEACE VIOLATION,HARRASSING PHONE CALLS,N
5017,PUBLIC PEACE VIOLATION,PEEPING TOM,N
