id,case_number,date,block,iucr_code,primary_type,description,location_desc,arrest,domestic,beat_num,district_code,ward_no,community_code,fbi_code,x_coordinate,y_coordinate,year,date_of_update,latitude,longitude,location,Year,Month,DayOfWeek
10000010,VW263207,2016-12-26 21:01:00,59XX E BROADWAY,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,BAR OR TAVERN,True,True,621,11,27.0,32.0,06,1151936.0,1887655.0,2016,2017-01-01 21:01:00,41.90038346,-87.68523748,"(41.90038346, -87.68523748)",2016,12,Monday
10000011,LY966195,2017-12-23 03:38:00,67XX S CHICAGO AVE,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,GAS STATION,False,False,1121,12,47.0,41.0,01A,1162736.0,1906702.0,2017,2018-01-06 03:38:00,41.80555863,-87.62702359,"(41.80555863, -87.62702359)",2017,12,Saturday
10000012,HR609238,2021-11-26 17:25:00,95XX S HALSTED ST,1200,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,511,1,20.0,37.0,14,1172107.0,1867096.0,2021,2021-12-14 17:25:00,41.88641169,-87.66050354,"(41.88641169, -87.66050354)",2021,11,Friday
10000013,RZ598675,2022-10-23 13:25:00,59XX S GRAND AVE,510,ASSAULT,AGGRAVATED: HANDGUN,HOSPITAL BUILDING/GROUNDS,False,False,212,5,42.0,1.0,04A,1173227.0,1894592.0,2022,2022-10-31 13:25:00,41.93123296,-87.59122647,"(41.93123296, -87.59122647)",2022,10,Sunday
10000014,KI408379,2023-09-21 16:40:00,91XX S HALSTED ST,560,ASSAULT,SIMPLE,UNKNOWN,True,False,711,9,29.0,10.0,04B,1157541.0,1880642.0,2023,2023-09-29 16:40:00,41.95790805,-87.7758267,"(41.95790805, -87.7758267)",2023,9,Thursday
10000015,PR048123,2019-09-13 16:47:00,17XX N NORTH AVE,560,ASSAULT,SIMPLE,GAS STATION,True,False,521,22,15.0,63.0,13,1189907.0,1907934.0,2019,2019-10-01 16:47:00,41.80665716,-87.59933791,UNKNOWN,2019,9,Friday
10000016,TE671891,2021-01-18 04:22:00,28XX W CLARK ST,750,THEFT,THEFT $500 AND UNDER,UNKNOWN,False,False,112,24,5.0,6.0,17,1156311.0,1903556.0,2021,2021-01-26 04:22:00,41.69611401,-87.7542853,"(41.69611401, -87.7542853)",2021,1,Monday
10000017,VC968747,2022-01-13 10:44:00,44XX N DIVISION ST,620,BURGLARY,UNLAWFUL ENTRY,RESTAURANT,False,False,221,10,44.0,77.0,19,1183076.0,1855516.0,2022,2022-02-07 10:44:00,41.70232074,-87.64017643,"(41.70232074, -87.64017643)",2022,1,Thursday
10000018,ON124524,2017-10-02 20:05:00,44XX E CLARK ST,730,THEFT,SHOPLIFTING,CTA BUS,False,False,2011,16,16.0,60.0,08A,1159091.0,1866969.0,2017,2017-10-11 20:05:00,41.69861,-87.54471415,"(41.69861, -87.54471415)",2017,10,Monday
10000019,TH575982,2020-12-14 13:47:00,24XX S PULASKI RD,750,THEFT,THEFT $500 AND UNDER,RETAIL STORE,False,False,621,11,26.0,59.0,26,1187144.0,1926070.0,2020,2021-01-01 13:47:00,41.9063853,-87.70533562,"(41.9063853, -87.70533562)",2020,12,Monday
10000020,DV902545,2023-06-11 15:55:00,63XX N STATE ST,650,MOTOR VEHICLE THEFT,AUTOMOBILE,BAR OR TAVERN,False,False,1411,20,19.0,61.0,11,1173886.0,1915769.0,2023,2023-06-12 15:55:00,41.70541302,-87.51768092,"(41.70541302, -87.51768092)",2023,6,Sunday
10000021,SS469766,2023-04-20 07:48:00,5XX S BROADWAY,460,BATTERY,SIMPLE,CTA TRAIN,True,False,211,24,14.0,34.0,08B,1172525.0,1897504.0,2023,2023-04-27 07:48:00,41.71251946,-87.79919728,"(41.71251946, -87.79919728)",2023,4,Thursday
10000022,AF685078,2021-09-03 19:36:00,56XX E CLARK ST,750,THEFT,THEFT $500 AND UNDER,ALLEY,False,False,1221,10,29.0,16.0,02,1174689.0,1856435.0,2021,2021-10-03 19:36:00,41.97280287,-87.64985835,"(41.97280287, -87.64985835)",2021,9,Friday
10000023,IZ459654,2016-01-09 15:26:00,12XX E CLARK ST,740,THEFT,THEFT OVER $500,GROCERY FOOD STORE,False,False,321,11,43.0,14.0,13,1190678.0,1894007.0,2016,2016-01-20 15:26:00,41.77646534,-87.51644194,"(41.77646534, -87.51644194)",2016,1,Saturday
10000024,YH744441,2022-10-31 15:01:00,83XX S FULLERTON AVE,730,THEFT,SHOPLIFTING,OTHER,False,False,712,22,16.0,21.0,04A,1195646.0,1886915.0,2022,2022-11-21 15:01:00,41.71796276,-87.50232286,"(41.71796276, -87.50232286)",2022,10,Monday
10000025,GU077836,2020-09-10 11:00:00,25XX S NORTH AVE,1240,NARCOTICS,POSS: HEROIN(WHITE),PARKING LOT / GARAGE(NON.RESID.),False,False,1511,10,38.0,75.0,09,1188143.0,1880176.0,2020,2020-09-20 11:00:00,41.83530242,-87.70026801,"(41.83530242, -87.70026801)",2020,9,Thursday
10000026,QX456262,2020-11-24 21:00:00,69XX W MADISON ST,560,ASSAULT,SIMPLE,RESIDENCE,False,False,122,5,27.0,20.0,20,1182491.0,1918141.0,2020,2020-12-18 21:00:00,41.79156837,-87.59218862,"(41.79156837, -87.59218862)",2020,11,Tuesday
10000027,XD422089,2015-07-08 12:03:00,80XX S FULLERTON AVE,610,BURGLARY,FORCIBLE ENTRY,ALLEY,False,False,312,12,24.0,56.0,11,1158753.0,1898759.0,2015,2015-07-18 12:03:00,41.89454011,-87.74598293,"(41.89454011, -87.74598293)",2015,7,Wednesday
10000028,VX728212,2018-05-22 09:24:00,2XX N FULLERTON AVE,650,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE(NON.RESID.),False,False,1011,17,7.0,31.0,08A,1198897.0,1902658.0,2018,2018-06-19 09:24:00,41.98780761,-87.71143077,"(41.98780761, -87.71143077)",2018,5,Tuesday
10000029,TI191987,2016-01-05 21:20:00,33XX W BROADWAY,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,HOSPITAL BUILDING/GROUNDS,False,True,311,15,12.0,26.0,05,1174984.0,1871802.0,2016,2016-01-29 21:20:00,41.95293818,-87.69024274,"(41.95293818, -87.69024274)",2016,1,Tuesday
10000030,DB091253,2021-07-22 13:40:00,90XX E DIVISION ST,650,MOTOR VEHICLE THEFT,AUTOMOBILE,HOSPITAL BUILDING/GROUNDS,True,False,1411,4,44.0,30.0,13,1161068.0,1855057.0,2021,2021-08-03 13:40:00,41.85842221,-87.52542323,"(41.85842221, -87.52542323)",2021,7,Thursday
10000031,RQ507215,2018-02-19 03:23:00,16XX W HALSTED ST,560,ASSAULT,SIMPLE,HOSPITAL BUILDING/GROUNDS,True,False,912,16,29.0,31.0,06,1167933.0,1881851.0,2018,2018-02-26 03:23:00,41.85333976,-87.50664724,UNKNOWN,2018,2,Monday
10000032,TM751590,2016-08-15 23:34:00,17XX W WESTERN AVE,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,BAR OR TAVERN,True,True,311,6,8.0,4.0,02,1166188.0,1863939.0,2016,2016-08-24 23:34:00,41.9269954,-87.72862052,"(41.9269954, -87.72862052)",2016,8,Monday
10000033,UC685848,2022-12-27 21:04:00,59XX W WESTERN AVE,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,CTA BUS,True,False,122,3,21.0,19.0,08B,1169045.0,1897791.0,2022,2023-01-25 21:04:00,41.86560941,-87.58635416,"(41.86560941, -87.58635416)",2022,12,Tuesday
10000034,ZP352621,2020-04-26 06:53:00,86XX W STATE ST,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,GROCERY FOOD STORE,False,False,912,3,28.0,13.0,10,1166482.0,1859778.0,2020,2020-04-29 06:53:00,41.86593952,-87.63152408,"(41.86593952, -87.63152408)",2020,4,Sunday
10000035,DQ072433,2022-07-27 18:01:00,85XX W HALSTED ST,1310,NARCOTICS,POSS: COCAINE,COMMERCIAL / BUSINESS OFFICE,True,False,112,25,45.0,35.0,17,1150305.0,1919589.0,2022,2022-08-16 18:01:00,41.78269541,-87.6980526,"(41.78269541, -87.6980526)",2022,7,Wednesday
10000036,FY772144,2019-10-03 15:28:00,51XX N MICHIGAN AVE,750,THEFT,THEFT $500 AND UNDER,HOSPITAL BUILDING/GROUNDS,False,True,221,9,14.0,66.0,07,1176346.0,1874673.0,2019,2019-10-17 15:28:00,41.89346537,-87.62205972,"(41.89346537, -87.62205972)",2019,10,Thursday
10000037,LC440872,2015-03-18 15:04:00,59XX E HALSTED ST,460,BATTERY,SIMPLE,RESIDENCE,False,False,2011,11,37.0,55.0,18,1198309.0,1863749.0,2015,2015-04-15 15:04:00,41.77685456,-87.67849031,"(41.77685456, -87.67849031)",2015,3,Wednesday
10000038,DB432053,2016-08-27 10:09:00,83XX E MADISON ST,320,ROBBERY,STRONGARM - NO WEAPON,STREET,True,False,122,7,12.0,20.0,17,1187993.0,1885912.0,2016,2016-09-05 10:09:00,41.83823511,-87.57366625,"(41.83823511, -87.57366625)",2016,8,Saturday
10000039,BS956393,2021-07-05 16:50:00,92XX N COTTAGE GROVE AVE,730,THEFT,SHOPLIFTING,OTHER,False,False,412,2,29.0,74.0,09,1155175.0,1921930.0,2021,2021-07-29 16:50:00,41.73525832,-87.78143789,"(41.73525832, -87.78143789)",2021,7,Monday
10000040,QI179990,2022-05-13 22:38:00,11XX E NORTH AVE,460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,2211,5,22.0,11.0,26,1183106.0,1860316.0,2022,2022-06-10 22:38:00,41.78306952,-87.60318358,"(41.78306952, -87.60318358)",2022,5,Friday
10000041,BJ796772,2016-07-17 08:18:00,99XX S GRAND AVE,610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,True,False,1711,4,33.0,70.0,26,1168835.0,1862979.0,2016,2016-08-14 08:18:00,41.91989228,-87.76068529,"(41.91989228, -87.76068529)",2016,7,Sunday
10000042,TH914924,2020-08-21 16:10:00,16XX E HALSTED ST,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,APARTMENT,True,True,612,7,39.0,18.0,15,1196714.0,1906912.0,2020,2020-09-17 16:10:00,41.8341772,-87.68863637,"(41.8341772, -87.68863637)",2020,8,Friday
10000043,VO751230,2016-02-10 20:41:00,3XX E PULASKI RD,850,DECEPTIVE PRACTICE,FRAUD,OTHER,False,False,711,5,9.0,5.0,03,1173455.0,1899227.0,2016,2016-02-21 20:41:00,41.84061179,-87.57234765,"(41.93933315, -87.57234765)",2016,2,Wednesday
10000044,WB337302,2016-08-11 12:00:00,71XX N NORTH AVE,750,THEFT,THEFT $500 AND UNDER,SIDEWALK,False,False,1111,12,16.0,74.0,15,1197670.0,1893526.0,2016,2016-08-31 12:00:00,41.84704537,-87.69181887,"(41.84704537, -87.69181887)",2016,8,Thursday
10000045,GT137831,2023-09-27 18:44:00,40XX W FULLERTON AVE,320,ROBBERY,STRONGARM - NO WEAPON,PARK PROPERTY,False,False,122,24,12.0,18.0,09,1189555.0,1920863.0,2023,2023-10-13 18:44:00,41.70109514,-87.7395227,"(41.70109514, -87.7395227)",2023,9,Wednesday
10000046,RJ083929,2020-10-27 11:05:00,78XX W COTTAGE GROVE AVE,750,THEFT,THEFT $500 AND UNDER,RESIDENCE,False,False,2411,15,6.0,56.0,13,1166395.0,1873651.0,2020,2020-11-20 11:05:00,41.77812993,-87.76922063,"(41.77812993, -87.76922063)",2020,10,Tuesday
10000047,KQ217435,2022-08-09 20:02:00,74XX S CHICAGO AVE,610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,False,False,912,3,16.0,47.0,03,1197441.0,1879761.0,2022,2022-08-14 20:02:00,41.87152845,-87.59628138,"(41.87152845, -87.59628138)",2022,8,Tuesday
10000048,ND217053,2015-10-31 15:57:00,82XX S CHICAGO AVE,620,BURGLARY,UNLAWFUL ENTRY,HOSPITAL BUILDING/GROUNDS,False,False,911,16,6.0,41.0,26,1157875.0,1906765.0,2015,2015-11-23 15:57:00,41.77710868,-87.710013,"(41.77710868, -87.710013)",2015,10,Saturday
10000049,NH192952,2019-08-05 20:04:00,56XX N WESTERN AVE,560,ASSAULT,SIMPLE,VEHICLE NON-COMMERCIAL,False,False,1211,11,42.0,10.0,04B,1177565.0,1897022.0,2019,2019-08-10 20:04:00,41.72850038,-87.55128388,"(41.72850038, -87.55128388)",2019,8,Monday
10000050,XO632844,2021-07-06 08:42:00,54XX N FULLERTON AVE,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,ALLEY,False,True,113,22,22.0,73.0,17,1178838.0,1902090.0,2021,2021-07-26 08:42:00,41.70363854,-87.60756388,"(41.70363854, -87.60756388)",2021,7,Tuesday
10000051,ZX897119,2018-11-15 23:08:00,79XX W CICERO AVE,1240,NARCOTICS,POSS: HEROIN(WHITE),RETAIL STORE,True,False,212,12,33.0,72.0,11,1154840.0,1873216.0,2018,2018-12-10 23:08:00,41.7702415,-87.72562434,"(41.7702415, -87.72562434)",2018,11,Thursday
10000052,OF505729,2018-02-26 15:56:00,6XX W STATE ST,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,SIDEWALK,False,False,711,24,44.0,61.0,10,1186375.0,1911108.0,2018,2018-03-25 15:56:00,41.81927833,-87.53526328,"(41.81927833, -87.53526328)",2018,2,Monday
10000053,PN545403,2021-10-03 16:32:00,21XX W BROADWAY,850,DECEPTIVE PRACTICE,FRAUD,CTA TRAIN,False,False,812,2,3.0,18.0,09,1156989.0,1924509.0,2021,2021-10-05 16:32:00,41.84061179,-87.53206049,"(41.7346822, -87.53206049)",2021,10,Sunday
10000054,AI164798,2023-10-12 23:37:00,5XX N PULASKI RD,650,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2211,8,47.0,7.0,07,1169009.0,1915732.0,2023,2023-10-31 23:37:00,41.90635485,-87.56761816,"(41.90635485, -87.56761816)",2023,10,Thursday
10000055,IJ972163,2020-02-26 21:21:00,91XX S FULLERTON AVE,2830,CRIMINAL TRESPASS,TO RESIDENCE,GROCERY FOOD STORE,False,False,2511,12,44.0,34.0,08B,1197074.0,1928580.0,2020,2020-03-15 21:21:00,41.77370192,-87.71045025,"(41.77370192, -87.71045025)",2020,2,Wednesday
10000056,KS170594,2017-11-16 19:13:00,30XX N WESTERN AVE,460,BATTERY,SIMPLE,CONVENIENCE STORE,True,False,621,19,18.0,72.0,19,1183491.0,1892483.0,2017,2017-11-23 19:13:00,41.86604915,-87.72726259,"(41.86604915, -87.72726259)",2017,11,Thursday
10000057,OC929549,2021-06-09 10:47:00,5XX N BROADWAY,560,ASSAULT,SIMPLE,CTA BUS,False,True,411,2,12.0,54.0,08B,1159315.0,1909920.0,2021,2021-07-03 10:47:00,41.94086096,-87.56361181,UNKNOWN,2021,6,Wednesday
10000058,JL235523,2018-10-12 20:36:00,32XX N CLARK ST,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,SIDEWALK,True,True,1121,7,12.0,52.0,09,1159239.0,1861248.0,2018,2018-11-03 20:36:00,41.71602133,-87.59922324,"(41.71602133, -87.59922324)",2018,10,Friday
10000059,RP755391,2022-03-01 22:18:00,86XX S CICERO AVE,750,THEFT,THEFT $500 AND UNDER,BAR OR TAVERN,False,False,311,22,15.0,29.0,16,1185097.0,1923023.0,2022,2022-03-13 22:18:00,41.98665139,-87.68791255,"(41.98665139, -87.68791255)",2022,3,Tuesday
10000060,BI099090,2020-06-25 07:32:00,1XX S HALSTED ST,740,THEFT,THEFT OVER $500,PARKING LOT / GARAGE(NON.RESID.),False,False,1611,2,30.0,17.0,08A,1165408.0,1851741.0,2020,2020-07-10 07:32:00,41.85763916,-87.59816969,"(41.85763916, -87.59816969)",2020,6,Thursday
10000061,NV232971,2019-03-27 13:43:00,39XX W DIVISION ST,750,THEFT,THEFT $500 AND UNDER,CTA TRAIN,False,False,221,19,9.0,45.0,01A,1161134.0,1850277.0,2019,2019-04-18 13:43:00,41.84865276,-87.58164256,"(41.84865276, -87.58164256)",2019,3,Wednesday
10000062,HD623098,2022-07-15 19:03:00,41XX E CICERO AVE,1200,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA TRAIN,True,False,521,2,26.0,57.0,17,1199674.0,1868732.0,2022,2022-07-23 19:03:00,41.92281909,-87.75795933,"(41.92281909, -87.75795933)",2022,7,Friday
10000063,GF698071,2019-07-31 08:24:00,68XX S NORTH AVE,740,THEFT,THEFT OVER $500,OTHER,False,False,521,19,31.0,31.0,16,1178119.0,1927422.0,2019,2019-08-06 08:24:00,41.93173285,-87.52557765,"(41.93173285, -87.52557765)",2019,7,Wednesday
10000064,IJ848773,2018-09-25 12:58:00,49XX W CHICAGO AVE,750,THEFT,THEFT $500 AND UNDER,GAS STATION,False,False,1411,7,13.0,16.0,08B,1161966.0,1875729.0,2018,2018-09-26 12:58:00,41.90113057,-87.68101038,"(41.90113057, -87.68101038)",2018,9,Tuesday
10000065,EU174956,2019-09-07 12:12:00,95XX W GRAND AVE,620,BURGLARY,UNLAWFUL ENTRY,STREET,False,False,611,8,25.0,73.0,19,1191079.0,1927320.0,2019,2019-09-18 12:12:00,41.84061179,-87.72280197,"(41.89545398, -87.72280197)",2019,9,Saturday
10000066,NH908689,2015-10-06 19:00:00,53XX N MICHIGAN AVE,460,BATTERY,SIMPLE,SIDEWALK,False,False,121,18,30.0,48.0,16,1174392.0,1850528.0,2015,2015-10-13 19:00:00,41.87495581,-87.65503875,"(41.87495581, -87.65503875)",2015,10,Tuesday
10000067,XX296529,2019-07-22 15:15:00,56XX E WESTERN AVE,1310,NARCOTICS,POSS: COCAINE,RESTAURANT,True,False,113,8,20.0,11.0,14,1150472.0,1863710.0,2019,2019-08-14 15:15:00,41.85581043,-87.78316552,"(41.85581043, -87.78316552)",2019,7,Monday
10000068,BL837937,2023-06-09 20:52:00,89XX N CHICAGO AVE,460,BATTERY,SIMPLE,UNKNOWN,True,False,2011,3,20.0,21.0,04B,1166586.0,1910448.0,2023,2023-06-22 20:52:00,41.80674698,-87.53104227,"(41.80674698, -87.53104227)",2023,6,Friday
10000069,JH114540,2022-05-30 13:49:00,1XX E GRAND AVE,800,ARSON,AGGRAVATED,RESIDENCE,True,False,211,10,16.0,10.0,03,1169481.0,1890235.0,2022,2022-06-19 13:49:00,41.92516708,-87.75371693,"(41.92516708, -87.75371693)",2022,5,Monday
10000070,YS464103,2021-04-10 21:15:00,10XX E CLARK ST,1240,NARCOTICS,POSS: HEROIN(WHITE),PARK PROPERTY,True,False,321,18,11.0,49.0,14,1171733.0,1883688.0,2021,2021-04-29 21:15:00,41.83793718,-87.78101985,"(41.83793718, -87.78101985)",2021,4,Saturday
10000071,CO556594,2018-08-06 17:44:00,36XX W CHICAGO AVE,560,ASSAULT,SIMPLE,CTA BUS,False,False,1022,17,21.0,23.0,11,1178793.0,1869393.0,2018,2018-08-13 17:44:00,41.89848733,-87.65269781,"(41.89848733, -87.65269781)",2018,8,Monday
10000072,SV591261,2018-05-25 10:42:00,54XX N CHICAGO AVE,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,COMMERCIAL / BUSINESS OFFICE,False,True,1211,15,25.0,10.0,26,1175330.0,1923631.0,2018,2018-05-30 10:42:00,41.83377041,-87.67975847,UNKNOWN,2018,5,Friday
10000073,KZ191342,2017-11-25 10:47:00,62XX N BROADWAY,1200,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CONVENIENCE STORE,True,False,521,19,38.0,74.0,01A,1175023.0,1877597.0,2017,2017-12-12 10:47:00,41.92170267,-87.62342301,UNKNOWN,2017,11,Saturday
10000074,AP153727,2018-11-06 18:43:00,24XX W NORTH AVE,910,VANDALISM,CRIMINAL DAMAGE,RESIDENCE,True,False,1711,6,48.0,32.0,05,1161592.0,1882403.0,2018,2018-12-02 18:43:00,41.85795469,-87.51246121,"(41.85795469, -87.51246121)",2018,11,Tuesday
10000075,IG131355,2020-06-27 16:40:00,76XX N ASHLAND AVE,910,VANDALISM,CRIMINAL DAMAGE,CONVENIENCE STORE,True,False,2211,22,25.0,51.0,18,1183679.0,1914049.0,2020,2020-07-08 16:40:00,41.82735818,-87.74824175,"(41.82735818, -87.74824175)",2020,6,Saturday
10000076,CA722514,2018-07-12 20:39:00,57XX W COTTAGE GROVE AVE,1240,NARCOTICS,POSS: HEROIN(WHITE),CONVENIENCE STORE,True,False,311,12,1.0,63.0,26,1170456.0,1889338.0,2018,2018-07-14 20:39:00,41.85847462,-87.60407907,"(41.85847462, -87.60407907)",2018,7,Thursday
10000077,WP467885,2015-06-20 19:28:00,31XX S CHICAGO AVE,460,BATTERY,SIMPLE,OTHER,False,False,611,7,28.0,14.0,04A,1190836.0,1885125.0,2015,2015-07-08 19:28:00,41.8249197,-87.69542691,"(41.8249197, -87.69542691)",2015,6,Saturday
10000078,QJ077476,2022-08-14 20:08:00,63XX S CLARK ST,740,THEFT,THEFT OVER $500,CTA BUS,False,False,311,15,4.0,36.0,11,1174984.0,1917484.0,2022,2022-09-08 20:08:00,41.73387303,-87.70337099,"(41.73387303, -87.70337099)",2022,8,Sunday
10000079,CU418409,2022-06-13 18:54:00,44XX N STATE ST,460,BATTERY,SIMPLE,PARKING LOT / GARAGE(NON.RESID.),False,False,1121,19,26.0,28.0,14,1177365.0,1860447.0,2022,2022-06-16 18:54:00,41.78685954,-87.71492208,"(41.78685954, -87.71492208)",2022,6,Monday
10000080,AI186420,2022-06-14 21:10:00,88XX W MICHIGAN AVE,1020,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,False,True,521,14,41.0,40.0,15,1153896.0,1897494.0,2022,2022-06-16 21:10:00,41.7185551,-87.73597365,"(41.7185551, -87.73597365)",2022,6,Tuesday
10000081,TP393120,2016-08-08 06:36:00,12XX N ASHLAND AVE,312,ROBBERY,ARMED: HANDGUN,OTHER,False,False,1211,22,42.0,22.0,06,1180803.0,1890235.0,2016,2016-08-09 06:36:00,41.91448065,-87.52403176,"(41.91448065, -87.52403176)",2016,8,Monday
10000082,WO367970,2021-10-21 16:47:00,41XX S NORTH AVE,750,THEFT,THEFT $500 AND UNDER,RESTAURANT,False,True,611,10,42.0,7.0,10,1176414.0,1928215.0,2021,2021-11-03 16:47:00,41.83987476,-87.62182107,"(41.83987476, -87.62182107)",2021,10,Thursday
10000083,SS800446,2019-10-01 18:05:00,51XX N BROADWAY,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,ALLEY,True,True,621,19,35.0,20.0,09,1198715.0,1862430.0,2019,2019-10-22 18:05:00,41.71370647,-87.52372254,"(41.71370647, -87.52372254)",2019,10,Tuesday
10000084,MO321572,2023-01-31 11:23:00,59XX E STATE ST,750,THEFT,THEFT $500 AND UNDER,STREET,False,False,112,9,47.0,40.0,14,1198752.0,1900202.0,2023,2023-02-05 11:23:00,41.84715626,-87.7211151,"(41.84715626, -87.7211151)",2023,1,Tuesday
10000085,UZ904283,2015-05-25 16:58:00,7XX S CICERO AVE,750,THEFT,THEFT $500 AND UNDER,APARTMENT,False,False,811,24,27.0,29.0,20,1178576.0,1859552.0,2015,2015-06-17 16:58:00,41.78598054,-87.5522009,"(41.78598054, -87.5522009)",2015,5,Monday
10000086,CN240970,2023-08-31 19:46:00,1XX W BROADWAY,910,VANDALISM,CRIMINAL DAMAGE,BAR OR TAVERN,True,False,312,19,49.0,32.0,09,1191978.0,1920175.0,2023,2023-09-29 19:46:00,41.75989932,-87.69607289,"(41.75989932, -87.69607289)",2023,8,Thursday
10000087,YD711431,2019-06-04 06:36:00,35XX S HALSTED ST,312,ROBBERY,ARMED: HANDGUN,VEHICLE NON-COMMERCIAL,True,False,611,15,43.0,17.0,13,1191594.0,1876100.0,2019,2019-06-06 06:36:00,41.96781259,-87.6821142,"(41.96781259, -87.6821142)",2019,6,Tuesday
10000088,MU108918,2021-10-07 03:53:00,58XX S WESTERN AVE,850,DECEPTIVE PRACTICE,FRAUD,RESIDENCE,False,False,611,11,10.0,12.0,11,1191004.0,1890235.0,2021,2021-11-04 03:53:00,41.70468519,-87.71034779,"(41.70468519, -87.71034779)",2021,10,Thursday
10000089,XH416664,2016-06-11 07:54:00,23XX E PULASKI RD,730,THEFT,SHOPLIFTING,CONVENIENCE STORE,True,False,1221,11,8.0,6.0,12,1174806.0,1880618.0,2016,2016-07-08 07:54:00,41.81994691,-87.58267075,"(41.81994691, -87.58267075)",2016,6,Saturday
